ぼうしの中に入っている動物はなに？,3,かめ,ウサギ,キリン,うし
飲むとおこられるジュースってなに？,0,コーラ,サイダー,オレンジ,ピーチ
おいしくて甘い「てら」ってどんなてら？,2,リンゴ,かき,カステラ,ホットケーキ
いつも文句ばかり言っている動物はなに？,3,いのしし,ぞう,さい,うし
とってもつめたい「いす」ってなに？,1,こおり,アイス,ふぶき,れいぞうこ


俳句の季語として認定されていないものはどれ？,1,サザン,チューブ,ユーミン,山下達郎
黄色のカーネーションの花言葉は次のうちどれ?,3,家族愛,感謝,嫉妬,軽蔑
「マジ？」という言葉，一体いつからあったでしょう？,0,江戸時代,明治時代,昭和,平成
実際に北海道に存在する川はどれ？,2,イトオシイ川,クルオシイ川,ヤリキレナイ川,チョウシデナイ川
天空の城ラピュタのムスカ大佐の年齢はいくつでしょう？,0,28歳,32歳,58歳,62歳
サザエさんに出てくるアナゴさんの年齢は？,0,28歳,32歳,58歳,62歳
ドラゴンボールのべジータは何ｃｍでしょう？,1,159cm,164cm,179cm,184cm
世界で最も歌われている曲は次のうちどれ？,0,ハッピーバースデートゥーユー,きらきら星,ジングルベル,アメージンググレイス
